Geographical Indication,Volume (L),Volume % change on previous period,Average value,Average value % change on previous period,State
South Eastern Australia,309394901,-7.40%,$1.90,6.20%,Other
Riverland,121981626,5.30%,$1.58,1.80%,SA
Australia,27796078,-17.40%,$4.26,7.20%,Other
Murray Darling - VIC,25352778,48.00%,$1.87,-3.10%,VIC
Murray Darling - NSW,22449066,0.30%,$1.39,-3.50%,NSW
South Australia,17979450,6.10%,$16.13,0.70%,SA
Riverina,16396432,6.10%,$2.28,-3.70%,NSW
Barossa Valley,9601380,20.50%,$18.61,30.80%,SA
Limestone Coast,7409361,7.80%,$3.34,-1.10%,SA
McLaren Vale,7367695,3.50%,$21.66,37.70%,SA
Victoria,7069275,12.10%,$2.44,-15.90%,VIC
Coonawarra,5821386,23.30%,$22.93,88.70%,SA
Langhorne Creek,5362880,44.80%,$3.96,-18.00%,SA
Swan Hill - VIC,3378755,136.00%,$1.68,-36.20%,VIC
Padthaway,3231632,8.40%,$16.15,105.70%,SA
Clare Valley,3206449,22.20%,$8.04,-10.50%,SA
Barossa,2418352,9.10%,$10.36,2.00%,SA
Wrattonbully - SA,2373998,19.40%,$27.13,193.10%,SA
Margaret River,2239626,24.30%,$10.67,-9.40%,WA
Lower Murray,1437194,206.80%,$2.33,-36.70%,SA
Adelaide Hills,1435124,-24.30%,$14.59,33.40%,SA
Gundagai,1418905,123.20%,$0.84,-17.50%,NSW
Heathcote,1051159,43.90%,$6.92,-0.20%,VIC
North West Victoria,1013238,117.20%,$4.65,-32.50%,VIC
Fleurieu,987610,74.60%,$6.63,7.20%,SA
Big Rivers,774081,-35.80%,$3.01,0.50%,NSW
Eden Valley,761589,34.70%,$16.25,-11.90%,SA
King Valley,713964,-8.60%,$7.05,12.70%,VIC
Central Victoria,655448,51.40%,$2.72,-53.90%,VIC
Frankland River,583826,-20.00%,$7.92,35.10%,WA
Western Australia,563519,21.60%,$5.97,-4.00%,WA
Goulburn Valley,528632,-21.10%,$5.50,-8.10%,VIC
Currency Creek,479265,157.40%,$2.31,-57.40%,SA
Yarra Valley,446634,-16.80%,$20.88,23.10%,VIC
Great Southern,331538,10.10%,$16.00,132.60%,WA
Mount Benson,313072,44.70%,$4.76,-4.10%,SA
Rutherglen,309384,225.30%,$4.21,-45.00%,VIC
Tasmania,285980,-16.60%,$21.22,11.90%,TAS
Adelaide Plains,271472,-0.30%,$28.12,186.00%,SA
Pemberton,238617,117.50%,$4.56,-16.20%,WA
Orange,206673,34.20%,$9.79,16.70%,NSW
Robe,195993,19.70%,$15.47,106.10%,SA
Mount Lofty Ranges,183423,39.50%,$8.21,-10.00%,SA
Grampians,182947,50.90%,$6.55,-29.90%,VIC
Geographe,180344,-4.30%,$5.12,5.30%,WA
Hunter Valley,175319,45.40%,$13.57,-4.50%,NSW
Pyrenees,173133,-5.60%,$13.28,16.80%,VIC
Perth Hills,161503,656.10%,$3.81,1.70%,WA
Southern Fleurieu,157276,63.20%,$7.16,-22.00%,SA
Blackwood Valley,151617,66.40%,$3.77,-6.90%,WA
Strathbogie Ranges,141342,-29.20%,$9.33,31.40%,VIC
Bendigo,118764,8.90%,$9.01,29.70%,VIC
Mount Barker,113670,-38.60%,$7.19,1.70%,WA
North East Victoria,102305,-35.60%,$8.06,-18.10%,VIC
Central Ranges,98553,6.60%,$6.28,-13.20%,NSW
Upper Goulburn,96157,-36.70%,$8.34,-7.00%,VIC
Glenrowan,95997,-51.50%,$3.52,71.30%,VIC
Western Victoria,93096,137.10%,$31.86,81.90%,VIC
Cowra,92116,110.20%,$4.89,-30.90%,NSW
Hilltops,91525,67.10%,$5.85,-16.00%,NSW
Adelaide,88060,113.20%,$29.30,214.00%,SA
Port Phillip,80556,-39.80%,$9.01,-6.30%,VIC
Swan Valley,73911,133.10%,$4.17,-64.10%,WA
New South Wales,72668,-55.10%,$4.04,0.10%,NSW
Mornington Peninsula,55623,-33.10%,$26.17,10.00%,VIC
Mudgee,53511,32.50%,$7.27,-17.40%,NSW
Swan Hill - NSW,52174,917.30%,$1.44,-57.70%,NSW
Tumbarumba,48998,-10.90%,$15.90,5.50%,NSW
Alpine Valleys,40402,-40.30%,$6.02,-8.60%,VIC
Nagambie Lakes,39104,12.70%,$11.76,7.80%,VIC
Geelong,38449,-16.60%,$38.82,6.30%,VIC
Southern Flinders,36932,256.10%,$4.51,31.20%,SA
Swan District,34335,12.30%,$4.15,23.60%,WA
Gippsland,32858,31.10%,$90.11,14.40%,VIC
Manjimup,32770,-34.90%,$3.33,-22.70%,WA
Wrattonbully - VIC,32379,33.70%,$3.48,32.30%,VIC
Wrattonbully,25981,-60.50%,$10.27,59.90%,SA
Far North,24188,-32.50%,$1.35,1.30%,SA
Mount Gambier,23457,23.10%,$10.35,2.80%,SA
Perricoota,22642,103.60%,$5.17,22.10%,NSW
Denmark,18589,935.60%,$7.46,-60.40%,WA
Henty,15561,19.90%,$26.04,0.00%,VIC
Great Western,14618,-77.10%,$11.69,39.20%,VIC
Granite Belt,14106,299.90%,$29.49,118.90%,QLD
Porongurup,12050,71.60%,$11.52,47.30%,WA
Piccadilly Valley,11365,-53.00%,$32.02,49.80%,SA
Macedon Ranges,9593,35.50%,$33.93,10.80%,VIC
Canberra District - NSW,5846,36.90%,$47.79,5.30%,NSW
Broke Fordwich,4005,-67.10%,$14.06,15.00%,NSW
Beechworth,3809,-59.70%,$94.16,228.90%,VIC
Kangaroo Island,3409,-52.40%,$10.49,-24.00%,SA
Pokolbin,3123,83.80%,$27.76,131.20%,NSW
High Eden,2659,-33.60%,$10.71,-35.40%,SA
Sunbury,2079,-81.40%,$10.10,22.60%,VIC
Albany,1894,10.70%,$18.55,25.90%,WA
South West Australia,1789,753.80%,$4.78,-60.90%,WA
Hunter,1635,-81.80%,$32.44,20.70%,NSW
Canberra District - ACT,1248,,$21.55,,Other
Lenswood,1148,-69.60%,$30.04,43.60%,SA
Western Plains,448,438.40%,$7.30,-66.00%,NSW
Other country,106,-68.90%,$4.12,-21.50%,Other
